"filename", "language", "PostCSS", "Markdown", "JavaScript JSX", "JSON", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\DUMAN\Desktop\NoteAt\README.md", "Markdown", 0, 7, 0, 0, 0, 0, 0, 6, 13
"c:\Users\DUMAN\Desktop\NoteAt\eslint.config.js", "JavaScript", 0, 0, 0, 0, 28, 0, 0, 2, 30
"c:\Users\DUMAN\Desktop\NoteAt\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\DUMAN\Desktop\NoteAt\package-lock.json", "JSON", 0, 0, 0, 2796, 0, 0, 0, 1, 2797
"c:\Users\DUMAN\Desktop\NoteAt\package.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\DUMAN\Desktop\NoteAt\src\App.css", "PostCSS", 41, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\DUMAN\Desktop\NoteAt\src\App.jsx", "JavaScript JSX", 0, 0, 126, 0, 0, 0, 5, 12, 143
"c:\Users\DUMAN\Desktop\NoteAt\src\components\ContextMenu.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\DUMAN\Desktop\NoteAt\src\components\ContextMenu.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\DUMAN\Desktop\NoteAt\src\components\EmptyNote.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\DUMAN\Desktop\NoteAt\src\components\EmptyNote.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 5, 24
"c:\Users\DUMAN\Desktop\NoteAt\src\components\Note.css", "PostCSS", 66, 0, 0, 0, 0, 0, 2, 6, 74
"c:\Users\DUMAN\Desktop\NoteAt\src\components\Note.jsx", "JavaScript JSX", 0, 0, 131, 0, 0, 0, 4, 31, 166
"c:\Users\DUMAN\Desktop\NoteAt\src\components\TextInput.css", "PostCSS", 28, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\DUMAN\Desktop\NoteAt\src\components\TextInput.jsx", "JavaScript JSX", 0, 0, 54, 0, 0, 0, 1, 6, 61
"c:\Users\DUMAN\Desktop\NoteAt\src\components\ToDoItem.css", "PostCSS", 65, 0, 0, 0, 0, 0, 0, 9, 74
"c:\Users\DUMAN\Desktop\NoteAt\src\components\ToDoItem.jsx", "JavaScript JSX", 0, 0, 49, 0, 0, 0, 1, 3, 53
"c:\Users\DUMAN\Desktop\NoteAt\src\components\ToDoNote.css", "PostCSS", 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\DUMAN\Desktop\NoteAt\src\components\ToDoNote.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 0, 0, 8, 56
"c:\Users\DUMAN\Desktop\NoteAt\src\components\Toolbar.css", "PostCSS", 89, 0, 0, 0, 0, 0, 0, 13, 102
"c:\Users\DUMAN\Desktop\NoteAt\src\components\Toolbar.jsx", "JavaScript JSX", 0, 0, 75, 0, 0, 0, 0, 6, 81
"c:\Users\DUMAN\Desktop\NoteAt\src\components\noteTypes.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\DUMAN\Desktop\NoteAt\src\index.css", "PostCSS", 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\DUMAN\Desktop\NoteAt\src\main.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 2, 2, 11
"c:\Users\DUMAN\Desktop\NoteAt\vite.config.js", "JavaScript", 0, 0, 0, 0, 10, 0, 1, 2, 13
"Total", "-", 319, 7, 522, 2823, 38, 13, 16, 134, 3872