"filename", "language", "JavaScript", "JSON", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\DUMAN\Desktop\NoteAt\package-lock.json", "JSON", 0, 759, 0, 0, 0, 0, 759
"c:\Users\DUMAN\Desktop\NoteAt\package.json", "JSON", 0, 4, 0, 0, 0, 0, 4
"c:\Users\DUMAN\Desktop\NoteAt\postcss.config.cjs", "JavaScript", 6, 0, 0, 0, 0, 0, 6
"c:\Users\DUMAN\Desktop\NoteAt\src\App.css", "PostCSS", 0, 0, 1, 0, 2, 0, 3
"c:\Users\DUMAN\Desktop\NoteAt\src\App.jsx", "JavaScript JSX", 0, 0, 0, 40, 0, 4, 44
"c:\Users\DUMAN\Desktop\NoteAt\src\components\Note.jsx", "JavaScript JSX", 0, 0, 0, 5, 1, 0, 6
"c:\Users\DUMAN\Desktop\NoteAt\src\components\TextInput.css", "PostCSS", 0, 0, 1, 0, 1, 0, 2
"c:\Users\DUMAN\Desktop\NoteAt\src\components\Toolbar.css", "PostCSS", 0, 0, 46, 0, 11, 7, 64
"c:\Users\DUMAN\Desktop\NoteAt\src\components\Toolbar.jsx", "JavaScript JSX", 0, 0, 0, 107, 5, 14, 126
"c:\Users\DUMAN\Desktop\NoteAt\src\index.css", "PostCSS", 0, 0, 3, 0, 0, 2, 5
"c:\Users\DUMAN\Desktop\NoteAt\tailwind.config.cjs", "JavaScript", 7, 0, 0, 0, 0, 1, 8
"Total", "-", 13, 763, 51, 152, 20, 28, 1027